"RelativePath","SizeBytes","LastWriteTime","Classification","Destination"
"ARCHITECTURE_INTAKE_REPORT_v1.0.md","95192","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/ARCHITECTURE_INTAKE_REPORT_v1.0.md"
"build_architecture_records/ADR_001_ARCHITECTURE_FREEZE_v1_0.md","33204","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/build_architecture_records/ADR_001_ARCHITECTURE_FREEZE_v1_0.md"
"build_architecture_records/PHASE_1_SPRINT_1_COMMIT_PLAN_v1_0.md","19606","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/build_architecture_records/PHASE_1_SPRINT_1_COMMIT_PLAN_v1_0.md"
"build_architecture_records/README.md","2518","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/build_architecture_records/README.md"
"canonical docs/00_CANONICAL_INDEX.md","3968","2026-07-14T11:54:41","ACTIVE","canonical docs/00_CANONICAL_INDEX.md"
"canonical docs/01_EXECUTIVE_SYSTEM_OVERVIEW.md","2994","2026-07-14T11:55:09","ACTIVE","canonical docs/01_EXECUTIVE_SYSTEM_OVERVIEW.md"
"canonical docs/02_CURRENT_IMPLEMENTATION_STATE.md","3870","2026-07-14T11:55:44","ACTIVE","canonical docs/02_CURRENT_IMPLEMENTATION_STATE.md"
"canonical docs/03_DOMAIN_AND_MODULE_MAP.md","3046","2026-07-14T11:56:04","ACTIVE","canonical docs/03_DOMAIN_AND_MODULE_MAP.md"
"canonical docs/04_DATA_OWNERSHIP_AND_RELATIONSHIPS.md","4578","2026-07-14T11:56:44","ACTIVE","canonical docs/04_DATA_OWNERSHIP_AND_RELATIONSHIPS.md"
"canonical docs/05_RUNTIME_WORKFLOWS.md","5054","2026-07-14T11:57:33","ACTIVE","canonical docs/05_RUNTIME_WORKFLOWS.md"
"canonical docs/06_PERMISSION_AND_TENANT_MODEL.md","3340","2026-07-14T11:57:59","ACTIVE","canonical docs/06_PERMISSION_AND_TENANT_MODEL.md"
"canonical docs/07_FINANCIAL_SYSTEM_AS_IS.md","3798","2026-07-14T11:58:31","ACTIVE","canonical docs/07_FINANCIAL_SYSTEM_AS_IS.md"
"canonical docs/08_PORTALS_APIS_AND_ENTRY_POINTS.md","3170","2026-07-14T11:58:57","ACTIVE","canonical docs/08_PORTALS_APIS_AND_ENTRY_POINTS.md"
"canonical docs/09_EVENTS_JOBS_AND_INTEGRATIONS.md","2687","2026-07-14T11:59:32","ACTIVE","canonical docs/09_EVENTS_JOBS_AND_INTEGRATIONS.md"
"canonical docs/10_TEST_CONFIDENCE_MATRIX.md","3438","2026-07-14T12:00:00","ACTIVE","canonical docs/10_TEST_CONFIDENCE_MATRIX.md"
"canonical docs/11_DUPLICATION_AND_SOURCE_OF_TRUTH_REGISTER.md","4935","2026-07-14T12:00:44","ACTIVE","canonical docs/11_DUPLICATION_AND_SOURCE_OF_TRUTH_REGISTER.md"
"canonical docs/12_DEFECT_AND_RISK_REGISTER.md","6061","2026-07-14T12:01:21","ACTIVE","canonical docs/12_DEFECT_AND_RISK_REGISTER.md"
"canonical docs/13_LEGACY_AND_DEAD_CODE_CANDIDATES.md","3187","2026-07-14T12:01:56","ACTIVE","canonical docs/13_LEGACY_AND_DEAD_CODE_CANDIDATES.md"
"canonical docs/15_ACTIVE_ARCHITECTURE_DECISIONS.md","2901","2026-07-14T12:02:24","ACTIVE","canonical docs/15_ACTIVE_ARCHITECTURE_DECISIONS.md"
"canonical docs/16_CURRENT_GAPS_AND_COMPLETION_BACKLOG.md","6038","2026-07-14T12:03:07","ACTIVE","canonical docs/16_CURRENT_GAPS_AND_COMPLETION_BACKLOG.md"
"canonical docs/17_PROJECT_CONTINUATION.md","1618","2026-07-14T12:03:34","ACTIVE","canonical docs/17_PROJECT_CONTINUATION.md"
"canonical docs/18_NEXT_TASK.md","1364","2026-07-14T12:04:10","ACTIVE","canonical docs/18_NEXT_TASK.md"
"canonical docs/19_EVIDENCE_AND_METHOD.md","2853","2026-07-14T12:04:50","ACTIVE","canonical docs/19_EVIDENCE_AND_METHOD.md"
"docs/adr/ADR-002_MATCHING_ENGINE.md","11340","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/adr/ADR-002_MATCHING_ENGINE.md"
"docs/adr/ADR-003_API_FOUNDATION_DRF.md","3752","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/adr/ADR-003_API_FOUNDATION_DRF.md"
"docs/adr/ADR-004_CANONICAL_WALLET_CONTEXT.md","3146","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/adr/ADR-004_CANONICAL_WALLET_CONTEXT.md"
"docs/adr/ADR-005_PAYMENT_INTENT_VS_FINANCE_PAYMENT_TRANSACTION.md","4121","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/adr/ADR-005_PAYMENT_INTENT_VS_FINANCE_PAYMENT_TRANSACTION.md"
"docs/adr/ADR-006_REPORTING_READ_MODEL.md","2570","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/adr/ADR-006_REPORTING_READ_MODEL.md"
"docs/adr/ADR-007_SERVICE_LAYER_THIN_CONTROLLER_RULE.md","3210","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/adr/ADR-007_SERVICE_LAYER_THIN_CONTROLLER_RULE.md"
"docs/adr/ADR-008_DEMAND_SIDE_DOMAIN_MODEL.md","7137","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/adr/ADR-008_DEMAND_SIDE_DOMAIN_MODEL.md"
"docs/adr/ADR-009_ORGANIZATION_ELIGIBILITY_AND_SCOPED_RBAC.md","8052","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/adr/ADR-009_ORGANIZATION_ELIGIBILITY_AND_SCOPED_RBAC.md"
"docs/adr/ADR-010_CANONICAL_PERMISSION_REGISTRY.md","10260","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/adr/ADR-010_CANONICAL_PERMISSION_REGISTRY.md"
"docs/adr/ADR-011_COMMISSION_POLICY_ENGINE_FOUNDATION.md","14856","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/adr/ADR-011_COMMISSION_POLICY_ENGINE_FOUNDATION.md"
"docs/adr/ADR-012_FINANCIAL_CORE_PR_B_ESCROW_DISPUTES.md","20139","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/adr/ADR-012_FINANCIAL_CORE_PR_B_ESCROW_DISPUTES.md"
"docs/architecture/api-guidelines.md","5715","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/architecture/api-guidelines.md"
"docs/architecture/bounded-contexts.md","7306","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/architecture/bounded-contexts.md"
"docs/architecture/DECISION_HISTORY.md","49359","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/architecture/DECISION_HISTORY.md"
"docs/architecture/dependency-graph.md","22534","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/architecture/dependency-graph.md"
"docs/architecture/event-architecture.md","3648","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/architecture/event-architecture.md"
"docs/architecture/FINANCIAL_CORE_IMPLEMENTATION_PLAN.md","6766","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/architecture/FINANCIAL_CORE_IMPLEMENTATION_PLAN.md"
"docs/architecture/GAP_ANALYSIS.md","32629","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/architecture/GAP_ANALYSIS.md"
"docs/architecture/PRODUCT_ROADMAP.md","17094","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/architecture/PRODUCT_ROADMAP.md"
"docs/architecture/PROJECT_INDEX.md","4953","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/architecture/PROJECT_INDEX.md"
"docs/architecture/PROJECT_MODULE_STATUS.md","22480","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/architecture/PROJECT_MODULE_STATUS.md"
"docs/architecture/PROJECT_STATE.md","43742","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/architecture/PROJECT_STATE.md"
"docs/architecture/rbac-permissions.md","15742","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/architecture/rbac-permissions.md"
"docs/architecture/service-layer-guidelines.md","4968","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/architecture/service-layer-guidelines.md"
"docs/architecture/system-overview.md","4322","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/architecture/system-overview.md"
"docs/architecture/technical-debt-register.md","25458","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/architecture/technical-debt-register.md"
"docs/architecture/wallet-finance-boundary.md","5873","2026-07-13T16:33:59","ARCHIVE","_archive/documentation/20260714-124624/docs/architecture/wallet-finance-boundary.md"
"MARKETPLACE_GOLDEN_FLOW_GAP_REPORT.md","33771","2026-07-13T18:03:14","ARCHIVE","_archive/documentation/20260714-124624/MARKETPLACE_GOLDEN_FLOW_GAP_REPORT.md"
